name;path length;sum angles tot;sum angles left;sum angles right;max angle;time to reach the goal;computation time;number of collisions
tests/benchmarkd/dyna00000000.txt;24.038904900405722;28.502711807526033;14.491690305433428;14.011021502092605;1.0;26.0000000000001;234375000.0;0
tests/benchmarkd/dyna00000001.txt;40.72096463683593;70.53208366799348;34.367791579940985;36.16429208805251;1.0;50.80000000000045;609375000.0;0
tests/benchmarkd/dyna00000002.txt;26.750510674576237;50.34893381175077;28.393936041352603;21.954997770398105;-1.0;28.500000000000135;375000000.0;0
tests/benchmarkd/dyna00000003.txt;28.709446263085127;36.91598496987367;14.188598728989508;22.727386240884158;-1.0;31.00000000000017;281250000.0;0
tests/benchmarkd/dyna00000004.txt;21.430923702160356;22.821014530527652;12.055569154206776;10.765445376320866;-1.0;0.0;250000000.0;1
tests/benchmarkd/dyna00000005.txt;28.709404530347346;31.64472207626164;16.415777949962905;15.228944126298714;-0.959739816984166;34.200000000000216;390625000.0;0
tests/benchmarkd/dyna00000006.txt;27.821073514247814;36.58554632014493;22.43518355764766;14.150362762497268;-1.0;30.000000000000156;421875000.0;0
tests/benchmarkd/dyna00000007.txt;28.877675247831707;41.29483947552122;20.02646247953152;21.2683769959897;1.0;31.800000000000182;390625000.0;0
tests/benchmarkd/dyna00000008.txt;28.144578302598863;56.44596543669474;28.06141471201433;28.384550724680494;-1.0;32.9000000000002;312500000.0;0
tests/benchmarkd/dyna00000009.txt;26.611770041470766;48.08732829944986;27.197733179219828;20.889595120230013;-1.0;31.200000000000173;296875000.0;0
tests/benchmarkd/dyna00000010.txt;32.23423053232103;73.06807647590992;36.31873001072118;36.749346465188715;1.0;38.20000000000027;343750000.0;0
tests/benchmarkd/dyna00000011.txt;41.98791196566849;82.77891168717744;37.63438728508356;45.14452440209389;1.0;55.40000000000052;453125000.0;0
tests/benchmarkd/dyna00000012.txt;20.409693594139114;24.253860727516606;12.400509559061748;11.853351168454846;-1.0;20.40000000000002;156250000.0;0
tests/benchmarkd/dyna00000013.txt;41.32003895156558;105.43902019570143;49.517742694089144;55.92127750161228;1.0;0.0;593750000.0;0
tests/benchmarkd/dyna00000014.txt;3.8528580154115795;10.695968088730945;6.537696747018243;4.158271341712703;1.0;0.0;15625000.0;1
tests/benchmarkd/dyna00000015.txt;7.824661532516806;16.49950899591893;6.367351848074023;10.132157147844907;-1.0;0.0;62500000.0;1
tests/benchmarkd/dyna00000016.txt;32.224292972389186;56.487622998105195;27.77015574033873;28.71746725776648;-1.0;0.0;312500000.0;1
tests/benchmarkd/dyna00000017.txt;23.55367331623701;25.478180341237987;12.36332326150093;13.114857079737057;0.8985348690503328;24.70000000000008;359375000.0;0
tests/benchmarkd/dyna00000018.txt;30.20435408102045;51.023949033500486;25.14296484559397;25.880984187906492;-1.0;34.200000000000216;453125000.0;0
tests/benchmarkd/dyna00000019.txt;20.2;15.896154089874303;7.755447316536582;8.140706773337715;-1.0;20.100000000000016;171875000.0;0
tests/benchmarkd/dyna00000020.txt;41.44238420497634;99.29021588478177;46.86067198266262;52.42954390211899;-1.0;0.0;625000000.0;1
tests/benchmarkd/dyna00000021.txt;31.117363463261647;58.58174463240308;34.21129410429015;24.370450528112947;-1.0;0.0;296875000.0;1
tests/benchmarkd/dyna00000022.txt;7.899999999999997;5.126241420849642;3.7836833964342897;1.3425580244153519;1.0;0.0;156250000.0;1
tests/benchmarkd/dyna00000023.txt;7.23630893503775;35.0786239067317;17.873512973626525;17.20511093310518;1.0;0.0;156250000.0;1
tests/benchmarkd/dyna00000024.txt;0.04999999999999999;0.3632712640026803;0.3632712640026803;0.0;0.3632712640026803;0.0;0.0;1
tests/benchmarkd/dyna00000025.txt;21.00000000000002;14.572121796309185;7.99873062489771;6.573391171411475;0.726814398693449;20.900000000000027;265625000.0;0
tests/benchmarkd/dyna00000026.txt;30.168701976982486;59.29637368111015;32.428034626306946;26.868339054803204;1.0;33.80000000000021;359375000.0;0
tests/benchmarkd/dyna00000027.txt;28.71338103085945;47.82425372050942;23.18187587997843;24.642377840530962;1.0;34.30000000000022;187500000.0;0
tests/benchmarkd/dyna00000028.txt;28.237465865045753;57.15608253907935;26.263604540315345;30.892477998763948;-1.0;32.40000000000019;437500000.0;0
tests/benchmarkd/dyna00000029.txt;26.858270877019514;45.75178596289852;23.92058723482747;21.831198728071083;1.0;32.700000000000195;250000000.0;0
tests/benchmarkd/dyna00000030.txt;27.186752954680113;34.98008225801736;17.274662490573004;17.70541976744437;-1.0;30.30000000000016;375000000.0;0
tests/benchmarkd/dyna00000031.txt;35.429455557106095;80.95632246938351;41.28766679714125;39.66865567224218;-1.0;0.0;437500000.0;1
tests/benchmarkd/dyna00000032.txt;37.46528047673316;76.87185950022324;41.20924034968672;35.662619150536536;-1.0;48.00000000000041;562500000.0;0
tests/benchmarkd/dyna00000033.txt;41.309919966545884;136.55073256066734;68.05222523085479;68.49850732981257;-1.0;0.0;812500000.0;0
tests/benchmarkd/dyna00000034.txt;25.647748070906268;45.747275593302966;20.24636670076605;25.50090889253693;1.0;32.800000000000196;187500000.0;0
tests/benchmarkd/dyna00000035.txt;27.809396922951315;82.90255317300762;37.99566104891335;44.9068921240943;1.0;0.0;375000000.0;1
tests/benchmarkd/dyna00000036.txt;42.53286886250372;120.19877091860103;60.714496722514;59.484274196087014;1.0;0.0;671875000.0;0
tests/benchmarkd/dyna00000037.txt;30.381649615226955;67.22929637630858;37.393036587871165;29.836259788437395;-1.0;35.600000000000236;421875000.0;0
