name;path length;sum angles tot;sum angles left;sum angles right;max angle;time to reach the goal;computation time;number of collisions
tests/benchmarkd/dyna00000000.txt;25.53587864682045;29.507655131476664;15.033329257292232;14.474325874184444;0.773654516105017;35.80000000000024;453125000.0;0
tests/benchmarkd/dyna00000001.txt;39.624716484755915;55.97233418574443;26.269576766316494;29.70275741942791;1.0;48.300000000000416;718750000.0;0
tests/benchmarkd/dyna00000002.txt;2.7500000000000004;5.4657175836611565;1.657408824830457;3.8083087588307;-1.0;0.0;15625000.0;1
tests/benchmarkd/dyna00000003.txt;25.323053531674653;40.34258683935591;20.742585838781302;19.60000100057455;-1.0;0.0;421875000.0;1
tests/benchmarkd/dyna00000004.txt;21.532932309942705;23.84945569930476;12.433369543367505;11.41608615593724;1.0;0.0;218750000.0;1
tests/benchmarkd/dyna00000005.txt;30.26080656737916;33.342983362656;17.256837741870605;16.086145620785395;-0.7281276356565005;41.900000000000325;625000000.0;0
tests/benchmarkd/dyna00000006.txt;38.10457005752064;59.48839206056317;31.567950296381046;27.920441764182105;-1.0;43.40000000000035;546875000.0;0
tests/benchmarkd/dyna00000007.txt;28.746208210617034;41.39592564728887;20.013961149814904;21.38196449747397;1.0;31.500000000000178;312500000.0;0
tests/benchmarkd/dyna00000008.txt;33.660875371994194;58.549356947978694;29.189351185650303;29.360005762328385;-1.0;41.100000000000314;531250000.0;0
tests/benchmarkd/dyna00000009.txt;21.663612451349394;35.12136650302463;19.071634059986867;16.049732443037758;1.0;0.0;312500000.0;1
tests/benchmarkd/dyna00000010.txt;45.82891130492835;134.62875520841555;75.0728566085235;59.55589859989209;1.0;0.0;734375000.0;0
tests/benchmarkd/dyna00000011.txt;41.049936008218104;109.0190545589887;56.60043092863304;52.4186236303556;1.0;0.0;515625000.0;0
tests/benchmarkd/dyna00000012.txt;21.35501563027831;24.16632066377837;12.130269641085619;12.03605102269276;1.0;22.300000000000047;250000000.0;0
tests/benchmarkd/dyna00000013.txt;38.564937635172726;69.73048817601678;35.190590690096776;34.539897485920065;1.0;47.2000000000004;578125000.0;0
tests/benchmarkd/dyna00000014.txt;35.889035340758575;98.7598371148117;52.95300887510333;45.80682823970824;1.0;47.500000000000405;625000000.0;0
tests/benchmarkd/dyna00000015.txt;25.780427825954984;30.80311145892785;19.097376766383313;11.70573469254454;1.0;28.20000000000013;343750000.0;0
tests/benchmarkd/dyna00000016.txt;28.675439246688352;42.70913376609937;17.22331633796759;25.485817428131778;-1.0;31.500000000000178;406250000.0;0
tests/benchmarkd/dyna00000017.txt;23.21399788818293;24.660781748046507;11.92202734438695;12.738754403659561;1.0;28.000000000000128;281250000.0;0
tests/benchmarkd/dyna00000018.txt;29.52148231557418;49.415875570739956;24.18478268262752;25.231092888112432;-1.0;32.50000000000019;328125000.0;0
tests/benchmarkd/dyna00000019.txt;20.4;14.476367698095423;6.933798594500042;7.5425691035953815;-1.0;20.30000000000002;156250000.0;0
tests/benchmarkd/dyna00000020.txt;25.54269605800788;48.133964389450675;20.523616973897635;27.61034741555308;-1.0;33.3000000000002;453125000.0;0
tests/benchmarkd/dyna00000021.txt;29.270956523595444;50.461976864065086;20.5112124869722;29.950764377092852;-1.0;0.0;687500000.0;0
tests/benchmarkd/dyna00000022.txt;7.85;4.515530272082616;3.2079095131409447;1.3076207589416713;1.0;0.0;109375000.0;1
tests/benchmarkd/dyna00000023.txt;44.78175161860077;126.56649405641562;54.21499130946665;72.351502746949;1.0;0.0;656250000.0;0
tests/benchmarkd/dyna00000024.txt;0.04999999999999999;0.3632712640026803;0.3632712640026803;0.0;0.3632712640026803;0.0;0.0;1
tests/benchmarkd/dyna00000025.txt;21.200000000000028;14.13598851839059;7.880350932340686;6.255637586049913;-0.62408476462151;21.10000000000003;328125000.0;0
tests/benchmarkd/dyna00000026.txt;32.7494066257127;56.976464073943305;34.00437232470323;22.972091749240022;-1.0;0.0;343750000.0;1
tests/benchmarkd/dyna00000027.txt;29.197748444751944;43.61798324250062;21.01282516897995;22.60515807352066;1.0;33.90000000000021;437500000.0;0
tests/benchmarkd/dyna00000028.txt;7.950000000000005;7.805264274722682;1.8834438871513495;5.921820387571333;-1.0;0.0;109375000.0;1
tests/benchmarkd/dyna00000029.txt;19.398546742825037;26.941536676574128;13.662066347261185;13.27947032931294;0.5095254494944288;0.0;968750000.0;0
tests/benchmarkd/dyna00000030.txt;36.144956402810855;116.61855222667513;55.045749067378615;61.572803159296576;-1.0;0.0;703125000.0;0
tests/benchmarkd/dyna00000031.txt;24.267703590270955;33.450069751343094;16.60335729583097;16.84671245551214;-1.0;26.200000000000102;343750000.0;0
tests/benchmarkd/dyna00000032.txt;32.05763381802379;82.59925548171343;40.899203860067715;41.70005162164576;1.0;42.10000000000033;437500000.0;0
tests/benchmarkd/dyna00000033.txt;27.45901826583084;42.853283991753244;28.081871456564112;14.771412535189125;1.0;29.000000000000142;359375000.0;0
tests/benchmarkd/dyna00000034.txt;24.258044139043655;38.1293209096066;16.71673098534663;21.412589924259965;1.0;27.700000000000124;250000000.0;0
tests/benchmarkd/dyna00000035.txt;41.676791522619965;118.37746466014053;71.60613600197924;46.77132865816128;1.0;0.0;875000000.0;0
tests/benchmarkd/dyna00000036.txt;42.537747272749904;106.3407185195689;47.47047654248564;58.87024197708325;-1.0;0.0;671875000.0;0
tests/benchmarkd/dyna00000037.txt;25.017804022560558;40.66413400560081;20.369915176436105;20.294218829164716;1.0;26.80000000000011;437500000.0;0
